Winner,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10
Blue,-57.80477705250076,-7.044769583276225,2.468196242134074,5.884672737238582,10.898244007861766,-5.735415565309066,-1.2624425264917756,1.412664341508736,-2.796017673534202,-3.1568005181310843
Red,120.47280368463342,-1.650723150380259,-16.045966281120982,3.5066819710408326,7.544039288689808,1.432942375628527,-3.208145345180298,-5.910251403681054,-3.662169570547213,-4.0674295043256565
Blue,21.150521593099672,-8.844738459707882,12.41619397232165,3.1517662362648315,-3.5378097029449025,-0.9189569973722187,1.877146863771704,-0.5402378295375684,-2.653225706923652,0.8327080513839586
Blue,-54.36846213348673,-10.32193548817824,-1.2008215607600612,0.7786654930361183,0.45962080115627985,-1.9405889740693298,2.8157801639013926,-1.990692797594887,-0.50375825208767,-3.622296958511562
Red,-1.7667173107882046,2.9642894610327333,-12.600890491760321,-6.734265922183096,-0.1477573938054338,8.592458411378953,4.7933975205343184,-5.582156405684418,-3.30593040450619,0.26173882496081335
Blue,-32.75915772087873,-14.675311216287522,3.9806089223028223,-7.355578807937533,4.202141245929317,5.445737836648623,-1.4894049432645609,-3.1100049675967227,-3.2556757946582104,-2.0902045206796322
Red,119.7821936205896,-10.120590094229797,-9.669437370356517,16.62943090181615,6.873506276802674,-7.93380952961366,-2.7352974985354184,-1.5930692324003082,1.1461032240020994,0.034712762754739515
Blue,-56.35466658022056,-3.5013532215319945,-10.426946569972998,1.9638540277694974,6.995974228372355,-8.24761555701189,5.211988598827952,-2.019062536991859,-4.576088731328337,8.666985616009494
Blue,21.747466518680508,12.59476256673056,-3.553195213866877,0.09262107332698383,-5.023594003660938,-7.395496468377967,4.492062281136227,-5.101976317614987,-2.3294991534660827,-4.735686820827359
Red,125.21818502962319,-15.249279969009491,3.6698353902966696,-7.82529598424001,16.313389529833216,7.789126611193523,3.707827728630952,1.8599155270847492,-0.9047515892427788,2.223671648312068
Blue,-1.1397889089339832,20.480822564296734,-0.004233751069053116,-3.0126730747237085,-2.502768111359133,8.040096408503214,-3.0616811136693474,-2.734976264329789,2.47269044614508,2.190438548352312
Red,49.79156338097153,20.721853350472333,-12.79906689614394,-4.774016763890738,-0.08253725472169149,2.0685899231292333,-1.1971255476174016,-7.839300702307849,-0.7252432337799378,-0.9570441138203225
Blue,-55.09708568353737,19.372544487154254,-18.842493738848216,-0.9942514991183444,1.670125215351665,-10.324263468596184,-4.080030102361053,3.8688766552588234,3.2489546278311963,8.157586333877317
Red,-19.34378837389322,-16.819296241846384,0.6286582674378313,-3.4980542271986605,-17.347243439926192,-1.660031556879032,-0.7411771041328893,1.0457092803522583,-5.837174954129217,-1.747770231392681
Blue,0.94019876223968,11.723170356384987,-17.672713268873345,-11.071034500830017,-9.094393744234337,10.213389822301671,3.2112653616011424,-4.427211699211104,0.4473499971237797,-2.8289509441043834
